연번,조사기관(자료회신기관),업소명,품목명,품목기준코드,품목구분,제조/수입,전문/일반,조사 항목,,,,,,,해당 품목 자료 작성자 정보,,
,,,,,,,,"부작용피해구제 안내문구 표시 여부
(포장, 용기, 첨부문서 중 일부라도 표시한 경우, O)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우, X)","피해구제 표준도안 사용여부
(포장, 용기, 첨부문서 중 일부라도 표시한 경우, O)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우, X)",표시위치,"구체적인 표시 문구
(포장, 용기, 첨부문서 각각)","미표시 사유
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우만 작성)","향후 표시 계획(시기)
(포장, 용기, 첨부문서 어느 곳에도 전혀 표시하지 않은 경우만 작성)",건의사항,이름,전화번호,이메일주소
130,한국바이오의약품협회,(주)보령바이오파마,캠푸토주(이리노테칸염산염),200610971,의약품,제조,전문의약품,,,,,,,,,,
131,한국바이오의약품협회,(주)보령바이오파마,케어민주,200803457,의약품,제조,전문의약품,,,,,,,,,,
132,한국바이오의약품협회,(주)보령바이오파마,임펙타솔주,200803664,의약품,제조,전문의약품,,,,,,,,,,
133,한국바이오의약품협회,(주)보령바이오파마,스타로랄300 설하액 (집먼지진드기) 초기치료단계,200900260,의약품,수입,전문의약품,,,,,,,,,,
134,한국바이오의약품협회,(주)보령바이오파마,스타로랄300 설하액 (집먼지진드기) 유지치료단계,200900261,의약품,수입,전문의약품,,,,,,,,,,
135,한국바이오의약품협회,(주)보령바이오파마,보령바이오아스트릭스캡슐100밀리그램(아스피린장용과립),200906484,의약품,제조,일반의약품,,,,,,,,,,
136,한국바이오의약품협회,(주)보령바이오파마,알림시드주500밀리그램(페메트렉시드이나트륨염2.5수화물),201302987,의약품,제조,전문의약품,,,,,,,,,,
137,한국바이오의약품협회,(주)보령바이오파마,보령세포배양일본뇌염백신주 (건조세포배양일본뇌염백신),201308763,생물의약품,제조,전문의약품,,,,,,,,,,
138,한국바이오의약품협회,(주)보령바이오파마,비알이부펜시럽(이부프로펜),201405818,의약품,제조,일반의약품,,,,,,,,,,
139,한국바이오의약품협회,(주)보령바이오파마,"보령디티에이피백신주(프리필드시린지)(흡착디프테리아, 파상풍 톡소이드 및 정제 백일해 혼합 백신)",201405907,생물의약품,제조,전문의약품,,,,,,,,,,
140,한국바이오의약품협회,(주)보령바이오파마,비알덱시펜시럽(덱시부프로펜),201406120,의약품,제조,일반의약품,,,,,,,,,,
141,한국바이오의약품협회,(주)보령바이오파마,비알코넥스나잘스프레이(모메타손푸로에이트),201500024,의약품,제조,전문의약품,,,,,,,,,,
142,한국바이오의약품협회,(주)보령바이오파마,비알코에이시럽,201500100,의약품,제조,일반의약품,,,,,,,,,,
